주문 번호, 확인 번호	order number / confirmation number
~의 주문을 추적하다	track one's order
교체품	a replacement
취소 수수료	cancellation fee
무료 체험판	a free trial version
막판 [마지막 순간의] 취소	last-minute cancellation
사용자 친화적인 디자인 [설계]	user-friendly design
최고 수준의 서비스	top-notch service
친절한 알림	a friendly reminder
계절 한정 메뉴	seasonal menu
~의 입맛에 녹다	melt in one's mouth
~의 취향에 맞추다, ~의 입맛에 맞추다	cater to one's taste
하루 종일 즐기다	make a day of it
가족 친화적인 분위기	a family-friendly atmosphere
숨겨진 보석 같은 장소	a hidden gem
일생일대의 기회	once-in-a-lifetime opportunity
잘 알려지지 않은	off the beaten path
재충전하다/치유하다	recharge/heal oneself
좋은 동네	a good neighborhood
~에서 걸어서 갈 수 있는 거리 내에 있는	within walking distance of ~
분리[분류]되지 않은 쓰레기	unsorted trash
소음 규제	noise regulation
건물 전체 알림	a building-wide reminder
낡은 시설을 개선되다	upgrade outdated facility
~을 차려보다, ~을 주의하다	keep an eye on ~
기술자가 ~하도록 예약하다 [조치하다]	arrange for a technician to 동사원형
불만을 제기하다, 민원을 넣다	file a complaint
~에 대한 보상을 받다 / ~에 대한 보상 ~을 제공하다	receive/provide compensation for ~
의미 있는 경험	meaningful experience
~이라는 이름으로	under the name ~
~의 일정에 맞추다	adjust to one's schedule
파티를 열다	throw a party
좋은 대안들	strong alternatives
~의 대상이 되다	be eligible for ~
벌금을 부과하다	impose a fine
수강 신청하다	sign up for a class
과목을 추가하다 ↔ 과목을 철회하다	add a course ↔ drop a course
전공/부전공을 정하다	declare a major/minor
강의 노트 / 슬라이드	lecture notes/slides
강의 계획서	course syllabus
성적 평가 기준	grading policy
성적증명서를 요청하다	request a transcript
마감을 충족하다	meet the deadline
기한 연장을 요청하다	ask for / request an extension
~을 필기하다	take notes on ~
~의 진행 상황을 추적하다	track one's progress
~을 따라잡다	catch up on ~
방해가 되는 행동	disruptive behavior
진로 목표	career goals
~의 학문적 시야를 넓히다	broaden one's academic perspective
학문적 관심	academic interests
학생회	student council
행사를 주최하다	host an event
모의 면접	a mock interview
설명회	an info session
자리를 확보하다	secure a spot
~에 대해 조언을 구하다	seek advice on ~
~으로서 주도하다	take the lead as ~
시각 자료	visual aids
발표를 하다	deliver a presentation
~을 담당하다	be in charge of ~
개요를 작성하다	draft an outline
뒷받침할 자료를 모으다	gather supporting data
주간 상영회	weekly screenings
잠깐 들르다	drop by
신입생 오리엔테이션	freshman orientation
~에 대한 책임을 분담하다	share responsibilities for ~
~의 사생활을 존중하다	respect one's privacy
~와 유대감을 쌓다	bond with ~
스스로 동기를 유지하다, 스스로를 계속 자극 받게 하다	keep oneself motivated
학습 과정	learning process
사회적 기술	social skill
인격 발달	personality development
잘 교육받은 사람	well-educated person
인성을 확양하다	build a strong character
모범, 본보기	role model
~에 돈을 투자하다	invest money in ~
부유한	well-off
비전통적인 방식	non-traditional way
자동차 산업	auto industry
우주 탐사	space exploration
진입성 직위	entry-level position
직무 기술서	job description
임시 직원	temporary worker (= temp)
고도로 기술이 발달한 사회	high-tech society
창업하다	start a business
경제적 불평등	economic inequality
노동 인구, 노동력	workforce
~을 유지하다, 지속하다	hold down ~
실업률	unemployment rate
경제적인 어려움	financial hardship
직업을 구하다	find employment
구직자	job seeker
손실을 메우다	make up for the loss
빚이 쌓이다	run up debt
비용을 분담하다	split the cost
경쟁 우위	competitive advantage
예산을 초과하여	beyond budget
디지털 문맹	digital illiteracy
입소문이 나다	go viral
풍부한 문화유산	rich cultural heritage
모국어	mother tongue / first language
세계 공용어	global language
최신 정보	up-to-date information
정보 기술	information technology
최첨단 기술, 최신 기술	state-of-the-art technology
양날의 검, 이로움을 줄 수도 있고 해를 끼칠 수도 있는 것	double-edged sword
조정하다, 수정하다	make an adjustment
재택근무를 하다	work out of one's home / work from home
연간 생산량	annual output
대량 살상	mass destruction
남용	excessive use
환경 문제	environmental concern
범죄율	crime rate
시골 지역	rural area
생활 수준	standard of living / level of lifestyle
광고 대상자	target audience
정서적 연결	emotional connection
~에 노출되다	be exposed to ~
~에 전념하다, ~에 헌신하다	be dedicated to ~
제품 품질	product quality
~에 대해 까다로운	particular about ~
수명	lifespan
평균 수명	life expectancy
의료 서비스, 치료	health-care / medical care
치명적인 질병	deadly disease
면역 체계	immune system
건강을 유지하다	stay in shape
~에 걸리다	come down with
나쁜 습관을 고치다	break a bad habit
연간 정기 건강 검진	annual checkup
스트레스를 많이 받다	get stressed out
긍정적인 시각을 유지하다	maintain a positive outlook
식량 부족	food shortage
엄격한 규정	strict regulation
신뢰를 쌓다	build up trust
팀을 이뤄 일하다	work in teams
~의 모국	one's native country
이민법	immigration law
사회적 관습	social custom
국제적 위기	international crisis
대중 정서	popular sentiment
특권을 가진 사람들	privileged people
국제 무역	international trade
국제 협력	international cooperation
외교 관계	diplomatic relations
긴장 상태를 조성하다	create tension
국제 관광	international tourism
세계화에 발맞추다	keep in step with globalization
무역 협정	trade agreement
자원을 배분하다	allocate resources
국가 간의 문화 교류	cultural exchanges between nations
중립적인 입장을 취하다	take the middle ground
세입	tax revenues
개발도상국	developing country
선진국	advanced country
공용 재활용 구역	shared recycling area
보증금	security deposit
소음 민원	noise complaint
해충 방제 서비스	pest control service
비상 연락처	emergency contact number
지역 행사	community event
임대 계약서	lease agreement
건물 출입 코드	building entrance code
정전	a power outage
주차 분쟁	parking disputes
고장 난	out-of-order
환기 불량	poor ventilation
일관되지 않은 / 고르지 않은	inconsistent / uneven
조명이 어두운	poorly lit
불편할 정도로 높은 온도	uncomfortably high temperatures
연결이 반복적으로 끊기다	disconnect repeatedly
긴 로딩 시간	long page loading time
관리비	maintenance fee
수리 기사	a handyman
A/S, 판매 후 서비스	after-sales service
청소 서비스	housekeeping service
넓은 좌석 공간	spacious seating
네트워크 회선	network line
24시간 운영되는 안내 데스크	24-hour front desk
구내식당	on-site cafeteria
휴게실 / 라운지 공간	break room / lounge area
식사 경험	a dining experience
최고급 편의 시설	first-rate amenities
상품을 보류하다	put an item on hold
교체를 요청하다	request a replacement
특별 주문하다	place a special order
자동 결제	automatic payment
짧은 통화를 잡다	set up a brief call
미리 전화하다	call ahead
예약 없는 손님을 받다	accommodate walk-ins
회의를 잡다, 약속을 잡다	schedule a meeting / an appointment
근무 시간을 대신하다	cover one's shift
~을 대신[대리]하다, 대신 일을 봐주다	fill in for ~
풍미 있고 부드러운	flavorful and tender
A가 ~하는 것을 막다	deter A from -ing
~로 돌아가다	return to ~
방문/숙박을 연장하다	extend one's stay
재고 있음 ↔ 품절	in stock ↔ out of stock
추가 요금	additional charge
보증서, 보증	a warranty
반품 규정	return policy
적립금, 매장 크레딧	store credit
재입고 수수료	restocking fee
서비스 요금, 팁	service charge / tip
배송 주소	delivery address
온라인 소매업체	online retailer
음식을 포장 주문하다	order takeout
~명 자리를 예약하다	get a table for ~
배송 상태	delivery status
영업일	business days
전액 환불 받다	get a full refund
손상된 물품	a damaged item
24시간 지원	round-the-clock support
한정 기간 혜택	limited-time offer
따뜻한 대접, 환대	warm hospitality
무료 아침 식사	complimentary breakfast
시도해 볼만한	worth a try
예약 번호 / 참조 번호	booking number / reference number
출발 시간	departure time
인증 코드	verification code
패키지 상품	a package deal
대중교통 이용권	public transportation pass
고객 서비스 / 고객 지원	customer service / customer support
일일 알림	daily reminders
뛰어난 음질	excellent sound quality
진행 상황 추적기	progress tracker
맞춤 설정 옵션	customization options
맞춤형 경험	personalized experience
알림 설정	notification settings
다양한 플랫폼 호환성	cross-platform compatibility
인공지능 기반 제안	AI-powered suggestions
빠른 로딩 속도	fast loading speed
간이 판매대	concession stand
~의 구독을 갱신하다	renew one's subscription
임시 해결책	a workaround
감기에 걸리다	come down with a cold
몸이 좋지 않은	feel under the weather
열이 나는	running a fever
막판 문제	a last-minute issue
개인적인 일	a personal matter
갑작스러운 통보로	on short notice
대청소	a deep clean
관리하기 쉬운	easy to care for
문이 잠겨 못 들어가는 상태	locked oneself out
직장에서 휴가를 얻다, 근무를 쉬다	take time off from work
음식의 양	portion size
~을 잔뜩 먹다, ~으로 가득 차다	fill up on ~
오래 남는 뒷맛	a lingering aftertaste
풍미가 진한	rich in flavor
음식 기부 행사	food drives
가볍고 깔끔한 맛	light and clean taste
균형 잡힌	well-balanced
오감을 만족시키다	satisfy all five senses
비건 선택 메뉴	vegan option
미식가	a foodie/gastronome
기다릴 만한 가치가 있는	worth the wait
~의 필요에 맞다	suit one's needs
(오늘은) 여기까지 하다, 일을 마무리하다	call it a day
집들이 파티	a housewarming party
모임	a get-together
커피를 마시다	grab coffee
(만나서) 시간을 보내다	hang out
(오랜만에 만나) 이야기 나누다, 만나다	catch up
얼룩을 제거하다	get a stain out
(단기) 주말 휴가	a weekend getaway
경치 좋은 길을 드라이브하다	take a scenic drive
길거리 음식을 맛보다	sample street food
